title_pt;title_en;year;rating;genre;sinopse
O Garoto;. O Garoto;1921;8.2;Comédia;Um mendigo cuida de uma criança abandonada, mas os eventos ameaçam esse relacionamento.
Bancando o Águia;. Bancando o Águia;1924;8.2;Ação;Um projecionista de cinema deseja ser um detetive e coloca suas magras habilidades em prática quando um rival o incrimina por roubar o relógio de bolso do pai de sua namorada.
Em Busca do Ouro;. Em Busca do Ouro;1925;8.1;Aventura;Um garimpeiro vai ao Klondike em busca de ouro e encontra muito mais que isso.
A General;. A General;1926;8.1;Ação;Uns espiões roubam a amada locomotiva de um engenheiro, ele a persegue sozinho através das linhas inimigas.
Metrópolis;. Metrópolis;1927;8.3;Drama;Numa cidade futurística dividida entre os trabalhadores e os planejadores, o filho do maior planejador se apaixona por uma trabalhadora.
O Martírio de Joana D'Arc;. O Martírio de Joana D'Arc;1928;8.1;Biografia;Em 1431, Joana D'Arc é julgada sob acusações de heresia. Os advogados da Igreja tentam forçar Jeanne a retractar suas reivindicações de visões sagradas.
M, o Vampiro de Dusseldorf;. M, o Vampiro de Dusseldorf;1931;8.3;Policial;Quando a polícia de uma cidade alemã não consegue encontrar um assassino de crianças, outros criminosos decidem ajudar na caçada humana.
Luzes da Cidade; Luzes da Cidade;1931;8.5;Comédia;Com a ajuda de um homem rico, bêbado e imprevisível, um vagabundo ingênuo que se apaixonou por uma florista cega tenta conseguir dinheiro para fornecer ajuda médica.
Aconteceu Naquela Noite;. Aconteceu Naquela Noite;1934;8.1;Comédia;Uma herdeira mimada que foge de sua família é ajudada por um homem que na verdade é um repórter que precisa de uma história.
Tempos Modernos; Tempos Modernos;1936;8.5;Comédia;Um vagabundo luta para viver na sociedade industrial moderna com a ajuda de uma jovem.
O Mágico de Oz;. O Mágico de Oz;1939;8.1;Aventura;A Dorothy Gale é levada por um tornado até a mágica cidade de Oz e vá numa viagem com novos amigos que la ajudar a voltar para casa.
...E o Vento Levou;. ...E o Vento Levou;1939;8.2;Drama;Uma mulher manipuladora e uma truhan embarcam em um romance turbulento durante a Guerra Civil Americana e o período da Reconstrução.
A Mulher Faz o Homem;. A Mulher Faz o Homem;1939;8.1;Comédia;Um homem ingênuo é eleito para ocupar uma vaga no Senado dos Estados Unidos. Seus planos colidem rapidamente com a corrupção política, mas ele não desiste.
As Vinhas da Ira;. As Vinhas da Ira;1940;8.1;Drama;Uma família pobre no Centro-Oeste é forçada a abandonar suas terras. Eles viajam para a Califórnia, sofrendo os infortúnios dos sem-teto na Grande Depressão.
O Grande Ditador; O Grande Ditador;1940;8.4;Comédia;O ditador Hynkel tenta expandir seu império enquanto um pobre barbeiro judeu tenta evitar a perseguição do regime de Hynkel.
Rebecca, a Mulher Inesquecível;. Rebecca, a Mulher Inesquecível;1940;8.1;Drama;Uma mulher autoconsciente faz malabarismos para se ajustar a seu novo papel de esposa de um aristocrata e evitar ser intimidada pela presença espectral de sua primeira esposa.
Cidadão Kane; Cidadão Kane;1941;8.3;Drama;Após a morte de um magnata na indústria editorial, jornalistas correm para descobrir o significado da última palavra que ele pronunciou.
Casablanca; Casablanca;1942;8.5;Drama;O proprietário cético de uma boate protege um antigo amor e seu marido dos nazistas no Marrocos.
Ser ou Não Ser;. Ser ou Não Ser;1942;8.2;Comédia;Durante a ocupação nazista da Polônia, uma trupe de atuação se envolve nos esforços de um soldado polonês para rastrear um espião alemão.
Pacto de Sangue;. Pacto de Sangue;1944;8.3;Policial;Um agente de seguros se deixa convencer de um esquema de assassinato e fraude, o que desperta a suspeita de um investigador.
A Felicidade Não se Compra; A Felicidade Não se Compra;1946;8.6;Drama;Um anjo é enviado dos céus para ajudar um homem de negócios desesperado em sua frustração, e mostra a ele como seria a vida se nunca tivesse existido.
Os Melhores Anos de Nossa Vida;. Os Melhores Anos de Nossa Vida;1946;8.1;Drama;Três veteranos da Segunda Guerra Mundial voltam para casa na cidade pequena da América para descobrir que eles e suas famílias foram mudados irreparavelmente.
O Tesouro da Sierra Madre;. O Tesouro da Sierra Madre;1947;8.2;Aventura;Dois americanos em busca de trabalho no México convencem um homem a ajudá-los a extrair ouro nas montanhas da Serra Madre.
Ladrões de Bicicletas;. Ladrões de Bicicletas;1948;8.3;Drama;Na Itália da pós-guerra a bicicleta de um homem da classe trabalhadora é roubada. Ele e o filho partiram para encontrá-la.
O 3º Homem;. O 3º Homem;1949;8.1;Filme noir;O romancista Holly Martins viaja para sombria, Viena pós-guerra, apenas para ele mesmo investigar a misteriosa morte de um velho amigo, Harry Lime
Rashomon;. Rashomon;1950;8.2;Policial;A violação de uma noiva e o assassinato de seu marido samurai são lembrados desde a perspectiva de um bandido, da noiva, do fantasma do samurai e de um lenhador.
A Malvada;. A Malvada;1950;8.2;Drama;Uma ingênua se insinua na vida de uma atriz de teatro, e de seu círculo de amigas de teatro.
Crepúsculo dos Deuses; Crepúsculo dos Deuses;1950;8.4;Drama;Um roteirista estabelece uma relação com uma fracasada estrela de cinema que quer voltar aos filmes.
Viver; Viver;1952;8.3;Drama;Depois de descobrir que tem câncer terminal, um burocrata tenta encontrar um sentido para sua vida.
Cantando na Chuva; Cantando na Chuva;1952;8.3;Comédia;Uma produtora de cinema e elenco fazem uma transição difíci.
O Salário do Medo;. O Salário do Medo;1953;8.2;Aventura;Em uma aldeia da América do Sul, quatro homens são contratados para transportar uma remessa urgente de nitroglicerina, mas sem o equipamento de segurança.
Era uma Vez em Tóquio;. Era uma Vez em Tóquio;1953;8.1;Drama;Um casal de idosos visita seus filhos e netos na cidade, mas recebe pouca atenção.
Disque M para Matar;. Disque M para Matar;1954;8.2;Policial;Um ex-tenista decide matar a esposa para herdar o dinheiro dela e se vingar de um caso que ela havia tido. A fim de se livrar de culpas, usa um antigo colega de faculdade. Mas as coisas não vão correr como estava planeado.
Sindicato de Ladrões;. Sindicato de Ladrões;1954;8.1;Policial;Um ex-lutador que virou lutador enfrenta seus chefes corruptos.
Janela Indiscreta; Janela Indiscreta;1954;8.5;Mistério;Um fotógrafo em uma cadeira de rodas espiona seus vizinhos pela janela de seu apartamento e está convencido de que um deles cometeu um assassinato.
Os Sete Samurais; Os Sete Samurais;1954;8.6;Ação;Uma aldeia pobre sob a ameaça de bandidos recruta sete samurais para ajudá-los a se defenderem.
A Canção da Estrada;. A Canção da Estrada;1955;8.2;Drama;O padre Harihar Ray, sonhando com uma vida melhor para si e sua família, deixa sua aldeia rural de Bengala em busca de trabalho.
Testemunha de Acusação; Testemunha de Acusação;1957;8.4;Policial;Um veterano advogado britânico deve defender seu cliente em um julgamento de assassinato que tem surpresa após surpresa.
Morangos Silvestres;. Morangos Silvestres;1957;8.1;Drama;Depois de viver uma vida marcada pela frieza, um professor idoso é forçado a confrontar o vazio de sua existência.
12 Homens e uma Sentença;12 Homens e uma Sentença;1957;9.0;Policial;O julgamento de um assassinato em Nova Iorque é frustrado por um único membro, cujo ceticismo força o júri a considerar cuidadosamente as evidências antes de dar o veredito.
Glória Feita de Sangue; Glória Feita de Sangue;1957;8.4;Drama;Depois de se recusar a atacar uma posição inimiga, um general acusa os soldados da covardia e seu comandante deve defendê-los.
A Ponte do Rio Kwai;. A Ponte do Rio Kwai;1957;8.1;Aventura;Depois de resolver suas diferenças com um japonês, o comandante do campo, um coronel britânico, coopera para supervisionar a construção de uma ponte ferroviária.
O Sétimo Selo;. O Sétimo Selo;1957;8.1;Drama;Um homem procura respostas sobre a vida, a morte e a existência de Deus enquanto joga xadrez contra a morte durante a Morte Negra.
Um Corpo que Cai;. Um Corpo que Cai;1958;8.3;Mistério;Um ex-policial luta contra seus demônios enquanto está obcecado por uma mulher bonita.
Ben-Hur;. Ben-Hur;1959;8.1;Aventura;Quando um príncipe de Jerusalém é traído e enviado à escravidão por um amigo romano, ele recupera sua liberdade e retorna para se vingar.
Os Incompreendidos;. Os Incompreendidos;1959;8.1;Policial;Uma criança, sem atenção, entra em uma vida de pequenos crimes.
